,0,1,3,4,6,7,2,5
0,0.7935,1,0.955,1,1,1,0.2065,0.045
1,0.7935,1,0.955,1,1,1,0.2065,0.045
2,0.7935,1,0.955,1,1,1,0.2065,0.045
3,0.605,0.998,0.905,0.9996,0.999558011,1,0.393,0.0946
4,0.605,0.998,0.905,0.9996,0.999558011,1,0.393,0.0946
5,0.605,0.998,0.905,0.9996,0.999558011,1,0.393,0.0946
6,0.45875,0.99125,0.855,0.99825,0.998304094,0.997931034,0.5325,0.14325
7,0.45875,0.99075,0.855,0.99815,0.998187135,0.997931034,0.532,0.14315
8,0.45875,0.99075,0.855,0.99815,0.998187135,0.997931034,0.532,0.14315
9,0.347,0.97625,0.80375,0.99505,0.995395963,0.993653846,0.62925,0.1913
10,0.347,0.9765,0.80375,0.9951,0.995333851,0.994160256,0.6295,0.19135
11,0.347,0.9765,0.80375,0.9951,0.995333851,0.994160256,0.6295,0.19135
