,0,1,3,4,6,7,2,5
0,0.794,1.000,0.955,1.000,1.000,1.000,0.206,0.045
1,0.794,1.000,0.955,1.000,1.000,1.000,0.206,0.045
2,0.794,1.000,0.955,1.000,1.000,1.000,0.206,0.045
3,0.605,0.995,0.905,0.999,0.999,0.999,0.390,0.094
4,0.605,0.995,0.905,0.999,0.999,0.999,0.390,0.094
5,0.605,0.995,0.905,0.999,0.999,0.999,0.390,0.094
6,0.459,0.983,0.855,0.997,0.997,0.997,0.525,0.142
7,0.459,0.983,0.855,0.997,0.997,0.997,0.524,0.142
8,0.459,0.983,0.855,0.997,0.997,0.997,0.524,0.142
9,0.347,0.950,0.804,0.990,0.990,0.990,0.603,0.186
10,0.347,0.950,0.804,0.990,0.990,0.991,0.603,0.186
11,0.347,0.951,0.804,0.990,0.990,0.991,0.604,0.186
