,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.326,0.424,0.334,0.326,0.800,0.805,0.803,0.805,,,,,,,,
1,0.800,0.950,0.893,0.875,0.950,0.988,0.977,0.960,0.988,0.985,0.981,0.963,0.800,1.000,0.958,0.949
2,0.725,0.839,0.891,0.950,0.940,0.965,0.978,0.990,0.950,0.969,0.981,0.988,0.900,0.949,0.965,0.999
3,0.575,0.588,0.592,0.773,0.885,0.890,0.908,0.940,0.957,0.969,0.967,0.987,0.600,0.564,0.669,0.743
4,0.276,0.387,0.275,0.325,0.800,0.805,0.800,0.805,,,,,,,,
5,0.626,0.900,0.901,0.923,0.915,0.980,0.980,0.970,0.981,0.987,0.981,0.962,0.650,0.949,0.975,0.999
6,0.553,0.714,0.852,0.923,0.876,0.925,0.961,0.984,0.906,0.932,0.957,0.987,0.754,0.899,0.975,0.975
7,0.500,0.649,0.573,0.600,0.850,0.922,0.890,0.905,0.925,0.987,0.975,0.963,0.551,0.653,0.550,0.666
8,0.300,0.411,0.375,0.326,0.805,0.805,0.803,0.803,,,,,,,,
9,0.513,0.675,0.823,0.847,0.860,0.932,0.962,0.961,0.956,0.935,0.965,0.963,0.462,0.921,0.949,0.955
10,0.450,0.536,0.799,0.810,0.803,0.865,0.932,0.949,0.804,0.854,0.928,0.949,0.796,0.908,0.950,0.950
11,0.364,0.488,0.637,0.681,0.810,0.846,0.905,0.924,0.879,0.893,0.975,0.985,0.527,0.652,0.623,0.675
