,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.600,0.625,0.592,0.576,0.905,0.905,0.905,0.905,,,,,,,,
1,0.901,1.000,1.000,0.951,0.980,1.000,1.000,0.980,1.000,1.000,1.000,0.984,0.791,1.000,1.000,0.948
2,0.751,0.950,0.950,0.951,0.945,0.982,0.988,0.990,0.939,0.981,0.987,0.989,1.000,1.000,1.000,1.000
3,0.799,0.849,0.850,0.924,0.960,0.970,0.968,0.985,0.983,0.997,0.996,1.000,0.736,0.709,0.703,0.841
4,0.599,0.600,0.625,0.551,0.905,0.905,0.905,0.905,,,,,,,,
5,0.826,0.939,0.951,0.949,0.965,0.985,0.990,0.980,0.983,0.989,0.989,0.983,0.789,0.948,1.000,0.948
6,0.702,0.801,0.902,0.926,0.935,0.952,0.975,0.956,0.945,0.953,0.978,0.951,0.844,0.947,0.948,1.000
7,0.675,0.788,0.826,0.826,0.930,0.953,0.960,0.965,0.956,0.986,0.984,0.995,0.682,0.633,0.738,0.686
8,0.674,0.625,0.625,0.609,0.905,0.905,0.905,0.905,,,,,,,,
9,0.850,0.900,0.986,0.963,0.960,0.980,0.997,0.988,0.989,0.978,1.000,0.988,0.684,0.998,0.973,0.982
10,0.611,0.650,0.838,0.889,0.892,0.898,0.928,0.965,0.892,0.887,0.923,0.966,0.896,0.996,0.973,0.957
11,0.638,0.762,0.861,0.887,0.880,0.928,0.955,0.973,0.901,0.938,0.978,0.991,0.685,0.836,0.737,0.806
