0,1,2
7588.83,11726.83,21137.09
0.5299999999997453,0.5300000000006548,0.5299999999988358
4.869999999999891,4.8700000000008,4.869999999998981
0.0,0.0,0.0
7588.83,11726.83,21137.09
0.0,0.0,0.0
-0.8699999999998909,-0.8700000000008004,-0.8600000000005821
0.0,0.0,0.0
7588.83,11726.83,21137.09
2.4899999999997817,2.4899999999997817,2.4900000000016007
2.880000000000109,2.8799999999991996,2.889999999999418
3.180000000000291,3.180000000000291,3.180000000000291
7588.83,11726.83,21137.09
-21.98999999999978,-21.98999999999978,-21.9900000000016
19.3100000000004,19.30999999999949,19.31000000000131
0.0,0.0,0.0
7588.83,11726.83,21137.09
0.0,0.0,0.0
-32.72999999999956,-32.72999999999956,-32.720000000001164
0.0,0.0,0.0
7588.83,11726.83,21137.09
-15.229999999999563,-15.229999999999563,-15.220000000001164
-18.88000000000011,-18.8799999999992,-18.86999999999898
0.0,0.0,0.0
7588.83,11726.83,21137.09
-0.8699999999998909,-0.8700000000008004,-0.8699999999989814
-0.7899999999999636,-0.7899999999990541,-0.7799999999988358
-1.2200000000002547,-1.2199999999993452,-1.2099999999991269
7588.83,11726.83,21137.09
0.0,0.0,0.0
1.8299999999999272,1.8299999999999272,1.8400000000001455
0.0,0.0,0.0
7588.83,11726.83,21137.09
9.960000000000036,9.960000000000946,9.959999999999127
7.010000000000218,7.010000000000218,7.020000000000437
13.710000000000036,13.710000000000946,13.709999999999127
