,0,1,2,3,4,5,6,7
0,0.799,0.976,0.177,0.955,0.995,0.04,0.995,1
1,0.799,0.976,0.177,0.955,0.995,0.04,0.995,1
2,0.799,0.976,0.177,0.955,0.995,0.04,0.995,1
3,0.625,0.95,0.325,0.905,0.99,0.085,0.989,1
4,0.625,0.95,0.325,0.905,0.99,0.085,0.989,1
5,0.625,0.95,0.325,0.905,0.99,0.085,0.989,1
6,0.425,0.925,0.5,0.855,0.985,0.13,0.994,0.931
7,0.425,0.925,0.5,0.855,0.985,0.13,0.994,0.931
8,0.425,0.925,0.5,0.855,0.985,0.13,0.994,0.931
9,0.275,0.9,0.625,0.8,0.98,0.18,0.981,0.975
10,0.275,0.9,0.625,0.8,0.98,0.18,0.981,0.975
11,0.275,0.9,0.625,0.8,0.98,0.18,0.981,0.975
