,0,1,2,3,4,5,6,7
0,0.800,1.000,0.200,0.955,1.000,0.045,1.000,1.000
1,0.800,1.000,0.200,0.955,1.000,0.045,1.000,1.000
2,0.800,1.000,0.200,0.955,1.000,0.045,1.000,1.000
3,0.604,1.000,0.396,0.905,1.000,0.095,1.000,1.000
4,0.604,1.000,0.396,0.905,1.000,0.095,1.000,1.000
5,0.604,1.000,0.396,0.905,1.000,0.095,1.000,1.000
6,0.488,1.000,0.512,0.855,1.000,0.145,1.000,1.000
7,0.488,1.000,0.512,0.855,1.000,0.145,1.000,1.000
8,0.488,1.000,0.512,0.855,1.000,0.145,1.000,1.000
9,0.333,0.971,0.638,0.804,0.994,0.190,0.994,0.996
10,0.333,0.971,0.638,0.804,0.994,0.190,0.994,0.996
11,0.333,0.971,0.638,0.804,0.994,0.190,0.994,0.996
